id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_W_peak_e.3365,31702.00,W2C_0,12.10,0.00,7.00,31809.00,C2N_0,483.20,13.82,107.00,963.33,20.00,1,0.00,36.58,0,tripinfo_f_W_peak_e.3365,bus,1.00,
f_W_peak_e.3371,31722.00,W2C_0,2.30,0.00,9.00,31810.00,C2N_1,483.20,14.82,88.00,973.13,7.00,1,0.00,25.34,0,tripinfo_f_W_peak_e.3371,motorcycle,1.13,
f_W_peak_e.3366,31707.00,W2C_0,8.10,0.00,9.00,31811.00,C2N_0,483.20,14.06,104.00,967.33,18.00,1,0.00,34.57,0,tripinfo_f_W_peak_e.3366,truck,1.02,
f_E_peak_e.2919,30617.00,E2C_0,2.30,0.00,260.00,31812.00,C2W_1,483.20,15.47,1195.00,997.70,521.00,74,0.00,1130.49,0,tripinfo_f_E_peak_e.2919,motorcycle,1.12,
f_E_peak_e.2915,30607.00,E2C_0,4.60,0.00,262.00,31813.00,C2W_2,483.20,15.15,1206.00,995.40,567.00,70,0.00,1141.89,0,tripinfo_f_E_peak_e.2915,car,1.12,
f_W_peak_e.3342,31627.00,W2C_0,4.60,0.00,1.00,31813.00,C2S_2,483.20,17.36,186.00,991.47,83.00,6,0.00,129.25,0,tripinfo_f_W_peak_e.3342,car,1.27,
f_S_peak_e.3343,31629.00,S2C_0,4.60,0.00,0.00,31814.00,C2E_1,483.20,12.54,185.00,991.47,70.00,4,0.00,109.16,0,tripinfo_f_S_peak_e.3343,car,0.95,
f_S_peak_e.3336,31608.00,S2C_0,3.10,0.00,0.00,31817.00,C2E_0,483.20,11.16,209.00,992.97,86.00,4,0.00,121.35,0,tripinfo_f_S_peak_e.3336,rickshaw,0.83,
f_W_peak_e.3352,31656.00,W2C_0,2.30,0.00,0.00,31818.00,C2S_2,483.20,15.40,162.00,993.77,54.00,4,0.00,100.25,0,tripinfo_f_W_peak_e.3352,motorcycle,1.17,
f_E_peak_e.2935,30697.00,E2C_0,2.30,0.00,292.00,31824.00,C2W_0,483.20,10.42,1127.00,997.70,509.00,63,0.00,1046.11,0,tripinfo_f_E_peak_e.2935,motorcycle,0.90,
f_S_peak_e.3374,31722.00,S2C_0,4.60,0.00,0.00,31824.00,C2W_2,483.20,12.07,102.00,970.83,15.00,1,0.00,26.28,0,tripinfo_f_S_peak_e.3374,car,0.94,
f_E_peak_e.2973,30816.00,E2C_0,4.60,0.00,297.00,31825.00,C2W_1,483.20,9.70,1009.00,995.40,697.00,29,0.00,917.31,0,tripinfo_f_E_peak_e.2973,car,0.78,
f_S_peak_e.3380,31740.00,S2C_0,2.30,0.00,0.00,31825.00,C2W_0,483.20,12.17,85.00,973.13,0.00,0,0.00,13.50,0,tripinfo_f_S_peak_e.3380,motorcycle,0.99,
f_S_peak_e.3385,31757.00,S2C_0,3.10,0.00,2.00,31830.00,C2W_0,483.20,15.86,73.00,972.33,0.00,0,0.00,11.78,0,tripinfo_f_S_peak_e.3385,rickshaw,1.17,
f_S_peak_e.3347,31641.00,S2C_0,2.30,0.00,0.00,31831.00,C2E_1,483.20,12.02,190.00,993.77,63.00,6,0.00,118.50,0,tripinfo_f_S_peak_e.3347,motorcycle,1.02,
f_S_peak_e.3352,31656.00,S2C_0,4.60,0.00,0.00,31832.00,C2E_2,483.20,12.93,176.00,991.47,50.00,4,0.00,101.28,0,tripinfo_f_S_peak_e.3352,car,0.96,
f_S_peak_e.3296,31489.00,S2C_0,2.30,0.00,1.00,31833.00,C2N_1,483.20,15.32,344.00,997.70,151.00,16,0.00,279.32,0,tripinfo_f_S_peak_e.3296,motorcycle,1.12,
f_S_peak_e.3344,31632.00,S2C_0,2.30,0.00,0.00,31834.00,C2E_0,483.20,9.94,202.00,993.77,64.00,6,0.00,120.26,0,tripinfo_f_S_peak_e.3344,motorcycle,0.88,
f_W_peak_e.3355,31665.00,W2C_0,4.60,0.00,0.00,31835.00,C2S_0,483.20,12.49,170.00,991.47,55.00,4,0.00,93.04,0,tripinfo_f_W_peak_e.3355,car,0.93,
f_S_peak_e.3301,31503.00,S2C_0,2.30,0.00,0.00,31836.00,C2N_0,483.20,13.15,333.00,997.70,160.00,15,0.00,262.49,0,tripinfo_f_S_peak_e.3301,motorcycle,1.03,
f_S_peak_e.3302,31506.00,S2C_0,4.60,0.00,0.00,31838.00,C2N_1,483.20,12.14,332.00,995.40,142.00,14,0.00,257.68,0,tripinfo_f_S_peak_e.3302,car,0.97,
f_S_peak_e.3304,31512.00,S2C_0,4.60,0.00,0.00,31840.00,C2N_0,483.20,13.29,328.00,995.40,135.00,12,0.00,253.72,0,tripinfo_f_S_peak_e.3304,car,0.97,
