id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_E_peak_e.2589,31430.00,E2C_0,2.30,0.00,2063.00,31680.00,C2W_1,483.20,13.33,250.00,997.70,131.00,6,0.00,175.07,0,tripinfo_f_E_peak_e.2589,motorcycle,0.96,
f_E_peak_e.2082,28801.00,E2C_0,2.30,0.00,955.00,31681.00,C2W_0,483.20,13.08,2880.00,997.70,2365.00,94,0.00,2805.96,0,tripinfo_f_E_peak_e.2082,motorcycle,0.97,
f_W_peak_e.3331,31593.00,W2C_0,2.30,0.00,0.00,31681.00,C2N_0,483.20,11.97,88.00,973.13,0.00,0,0.00,13.53,0,tripinfo_f_W_peak_e.3331,motorcycle,0.96,
f_E_peak_e.2524,31260.00,E2C_0,3.10,0.00,2088.00,31682.00,C2W_2,483.20,14.42,422.00,996.90,219.00,23,0.00,354.70,0,tripinfo_f_E_peak_e.2524,rickshaw,1.08,
f_W_peak_e.3317,31551.00,W2C_0,2.30,0.00,0.00,31683.00,C2E_1,483.20,13.86,132.00,997.70,39.00,2,0.00,64.27,0,tripinfo_f_W_peak_e.3317,motorcycle,1.06,
f_W_peak_e.3321,31563.00,W2C_0,2.30,0.00,0.00,31683.00,C2E_0,483.20,11.08,120.00,997.70,22.00,1,0.00,41.09,0,tripinfo_f_W_peak_e.3321,motorcycle,0.92,
f_E_peak_e.2458,31096.00,E2C_0,4.60,0.00,2122.00,31686.00,C2W_0,483.20,13.66,590.00,995.40,240.00,25,0.00,519.48,0,tripinfo_f_E_peak_e.2458,car,1.02,
f_E_peak_e.2428,30988.00,E2C_0,2.30,0.00,2104.00,31688.00,C2W_1,483.20,15.07,700.00,997.70,361.00,40,0.00,633.79,0,tripinfo_f_E_peak_e.2428,motorcycle,1.09,
f_W_peak_e.3332,31596.00,W2C_0,2.30,0.00,0.00,31688.00,C2E_0,483.20,13.45,92.00,997.70,0.00,0,0.00,25.41,0,tripinfo_f_W_peak_e.3332,motorcycle,1.09,
f_E_peak_e.2461,31109.00,E2C_0,2.30,0.00,2126.00,31689.00,C2W_0,483.20,9.98,580.00,997.70,230.00,25,0.00,496.12,0,tripinfo_f_E_peak_e.2461,motorcycle,0.86,
